,date,rank,song,artist,last-week,peak-rank,max-weeks-on-board
11276,1994-06-25,95,I Got Cha Opin,Black Moon,94.0,93,10.0
11277,1996-05-04,82,I Got Id/Long Road,Pearl Jam,83.0,7,20.0
11278,2007-10-20,92,I Got It From My Mama,will.i.am,67.0,31,9.0
11279,1979-06-16,87,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,87.0,20,18.0
11280,2006-11-11,67,I Got Nerve,Hannah Montana,,67,1.0
11281,2011-12-10,95,I Got Nothin',Darius Rucker,98.0,84,10.0
11282,1967-07-01,48,I Got Rhythm,The Happenings,29.0,3,13.0
11283,1972-06-10,92,I Got Some Help I Don't Need,B.B. King,92.0,92,6.0
11284,1975-10-11,76,I Got Stoned And I Missed It,Jim Stafford,37.0,37,9.0
11285,1959-10-12,66,I Got Stripes,Johnny Cash,61.0,43,11.0
11286,1959-02-16,100,I Got Stung,Elvis Presley,66.0,8,16.0
11287,2016-02-13,73,I Got The Boy,Jana Kramer,59.0,56,16.0
11288,1968-06-01,43,I Got The Feelin',James Brown And The Famous Flames,17.0,6,12.0
11289,1987-05-02,72,I Got The Feelin' (It's Over),Gregory Abbott,67.0,56,11.0
11290,1966-12-31,31,I Got The Feelin' (Oh No No),Neil Diamond,16.0,16,8.0
11291,1998-08-22,55,I Got The Hook Up!,Master P Featuring Sons Of Funk,46.0,16,20.0
11292,2016-11-05,96,I Got The Keys,DJ Khaled Featuring Jay Z & Future,98.0,30,17.0
11293,1967-02-04,69,I Got To Go Back (And Watch That Little Girl Dance),The McCoys,70.0,69,5.0
11294,1966-09-17,74,I Got To Handle It,The Capitols,74.0,74,4.0
11295,1976-10-23,43,I Got To Know,Starbuck,45.0,43,7.0
11296,1971-01-16,96,I Got To Tell Somebody,Betty Everett,97.0,96,4.0
11297,1963-05-04,43,I Got What I Wanted,Brook Benton,37.0,28,8.0
11298,1967-04-29,99,I Got What You Need,Kim Weston,,99,1.0
11299,2017-04-01,82,I Got You,Bebe Rexha,67.0,43,11.0
11300,2006-06-24,94,I Got You,Craig Morgan,92.0,92,4.0
11301,2013-06-29,88,I Got You,Jack Johnson,,88,1.0
11302,1980-11-01,99,I Got You,Split Enz,93.0,53,11.0
11303,2011-12-31,95,I Got You,Thompson Square,78.0,68,18.0
11304,1966-01-29,42,I Got You (I Feel Good),James Brown And The Famous Flames,28.0,3,12.0
11305,1968-06-29,81,I Got You Babe,Etta James,70.0,69,7.0
11306,1965-10-09,41,I Got You Babe,Sonny & Cher,30.0,1,14.0
11307,1985-10-26,97,I Got You Babe,UB40,86.0,28,14.0
11308,1972-06-10,26,I Gotcha,Joe Tex,20.0,2,21.0
11309,1964-01-25,42,I Gotta Dance To Keep From Crying,The Miracles,38.0,35,10.0
11310,2010-07-17,49,I Gotta Feeling,The Black Eyed Peas,49.0,1,56.0
11311,2010-06-26,95,I Gotta Get To You,George Strait,78.0,70,13.0
11312,1977-06-18,95,I Gotta Keep Dancin',Carrie,96.0,64,8.0
11313,1961-01-23,43,I Gotta Know,Elvis Presley With The Jordanaires,37.0,20,11.0
11314,1970-11-21,93,I Gotta Let You Go,Martha Reeves & The Vandellas,94.0,93,3.0
11315,1983-01-22,74,I Gotta Try,Michael McDonald,44.0,44,11.0
11316,1965-05-01,79,I Gotta Woman (Part One),Ray Charles and his Orchestra,82.0,79,3.0
11317,2019-03-09,94,I Guess I Just Feel Like,John Mayer,,94,1.0
11318,1966-08-27,78,I Guess I'll Always Love You,The Isley Brothers,61.0,61,7.0
11319,1968-08-31,56,"I Guess I'll Have To Cry, Cry, Cry",James Brown And The Famous Flames,55.0,55,6.0
11320,1972-12-02,85,I Guess I'll Miss The Man,The Supremes,85.0,85,7.0
11321,1964-10-10,96,I Guess I'm Crazy,Jim Reeves,82.0,82,5.0
11322,2021-09-04,90,I Guess I'm In Love,Clinton Kane,,90,1.0
11323,2022-11-20,81,I Guess It's Fuck Me,Drake,19,19,2.0
11324,1984-03-31,97,I Guess That's Why They Call It The Blues,Elton John,93.0,4,23.0
11325,1969-12-13,58,I Guess The Lord Must Be In New York City,Nilsson,34.0,34,7.0
11326,1967-10-14,47,I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay,44.0,17,9.0
11327,1964-11-28,57,I Had A Talk With My Man,Mitty Collier,55.0,41,10.0
11328,1972-05-20,68,I Had It All The Time,Tyrone Davis,68.0,61,9.0
11329,1998-11-28,67,I Had No Right,P.M. Dawn,62.0,44,10.0
11330,1967-03-11,33,I Had Too Much To Dream (Last Night),The Electric Prunes,17.0,11,14.0
11331,2004-12-25,97,I Hate Everything,George Strait,94.0,35,20.0
11332,1974-06-29,76,I Hate Hate,Razzy,67.0,67,6.0
11333,1988-12-17,90,I Hate Myself For Loving You,Joan Jett & the Blackhearts,88.0,8,26.0
11334,2009-04-25,51,I Hate This Part,The Pussycat Dolls,38.0,11,20.0
11335,1995-11-25,92,I Hate U,Prince,86.0,12,10.0
11336,2022-05-01,39,I Hate U,SZA,36,7,21.0
11337,2017-01-28,41,I Hate U I Love U,gnash Featuring Olivia O'Brien,33.0,10,39.0
11338,2022-03-20,98,I Hate YoungBoy,YoungBoy Never Broke Again,81,79,3.0
11339,1964-01-18,52,I Have A Boyfriend,The Chiffons,45.0,36,10.0
11340,1975-03-29,50,I Have A Dream,Donny Osmond,56.0,50,7.0
11341,1968-05-25,88,I Have A Dream,"Rev. Martin Luther King, Jr.",91.0,88,4.0
11342,1965-11-06,91,I Have Dreamed,Chad & Jeremy,100.0,91,2.0
11343,1970-09-26,89,I Have Learned To Do Without You,Mavis Staples,87.0,87,4.0
11344,2014-01-04,51,I Have Nothing,Tessanne Chin,,51,1.0
11345,1993-07-10,53,I Have Nothing,Whitney Houston,51.0,4,20.0
11346,1981-04-18,90,I Have The Skill,Sherbs,75.0,61,7.0
11347,1966-01-01,30,I Hear A Symphony,The Supremes,20.0,1,10.0
11348,1971-09-04,70,I Hear Those Church Bells Ringing,Dusk,64.0,53,13.0
11349,1966-05-07,34,I Hear Trumpets Blow,The Tokens,34.0,30,8.0
11350,1971-03-13,26,I Hear You Knocking,Dave Edmunds,20.0,4,12.0
11351,1961-12-11,77,I Hear You Knocking,Fats Domino,67.0,67,2.0
11352,1980-09-20,96,I Hear You Now,Jon & Vangelis,58.0,58,6.0
11353,1987-11-21,88,"I Heard A Rumour (From ""Disorderlies"")",Bananarama,59.0,4,19.0
11354,1976-03-20,43,I Heard It Through The Grapevine,Creedence Clearwater Revival Featuring John Fogerty,47.0,43,8.0
11355,1968-02-10,43,I Heard It Through The Grapevine,Gladys Knight And The Pips,15.0,2,17.0
11356,1969-03-01,28,I Heard It Through The Grapevine,Marvin Gaye,15.0,1,15.0
11357,1988-02-13,98,I Heard It Through The Grapevine,The California Raisins,90.0,84,4.0
11358,1981-12-19,98,I Heard It Through The Grapevine (Part 1),Roger,83.0,79,7.0
11359,1968-08-24,83,I Heard It Thru The Grapevine,King Curtis & The Kingpins,84.0,83,3.0
11360,1970-07-11,99,I Heard The Voice Of Jesus,Turley Richards,99.0,99,3.0
11361,2013-05-18,74,I Hit It First,Ray J Featuring Bobby Brackins,,51,3.0
11362,2014-05-10,91,I Hold On,Dierks Bentley,79.0,40,19.0
11363,1977-12-31,69,I Honestly Love You,Olivia Newton-John,69.0,1,24.0
11364,1998-08-15,99,I Honestly Love You (David Foster Vers.),Olivia Newton-John,90.0,67,12.0
11365,2021-03-13,24,I Hope,Gabby Barrett Featuring Charlie Puth,18.0,3,62.0
11366,2021-08-21,88,I Hope Ur Miserable Until Ur Dead,Nessa Barrett,,88,1.0
11367,1976-07-10,91,I Hope We Get To Love In Time,"Marilyn McCoo & Billy Davis, Jr.",91.0,91,8.0
11368,2001-08-04,48,I Hope You Dance,Lee Ann Womack,46.0,14,48.0
11369,2020-07-04,45,I Hope You're Happy Now,Carly Pearce & Lee Brice,41.0,27,25.0
11370,1961-01-02,82,I Idolize You,Ike & Tina Turner,90.0,82,4.0
11371,2010-03-20,85,I Invented Sex,Trey Songz Featuring Drake,81.0,42,20.0
11372,2009-08-15,97,I Just Call You Mine,Martina McBride,,97,1.0
11373,1985-02-09,99,I Just Called To Say I Love You,Stevie Wonder,93.0,1,26.0
11374,1979-12-15,95,I Just Can't Control Myself,Nature's Divine,65.0,65,7.0
11375,1974-03-16,72,I Just Can't Get You Out Of My Mind,Four Tops,62.0,62,8.0
11376,1970-09-12,24,I Just Can't Help Believing,B.J. Thomas,15.0,9,13.0
11377,1962-07-28,70,I Just Can't Help It,Jackie Wilson,72.0,70,4.0
11378,1964-12-19,94,I Just Can't Say Goodbye,Bobby Rydell,,94,1.0
11379,1975-02-15,95,I Just Can't Say Goodbye,Philly Devotions,97.0,95,2.0
11380,1977-03-05,44,I Just Can't Say No To You,Parker McGee,42.0,42,7.0
11381,1987-11-07,99,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,77.0,1,14.0
11382,1983-12-17,100,I Just Can't Walk Away,Four Tops,91.0,71,9.0
11383,1966-11-19,31,I Just Don't Know What To Do With Myself,Dionne Warwick,26.0,26,8.0
11384,1970-11-21,61,I Just Don't Know What To Do With Myself,Gary Puckett,62.0,61,4.0
11385,1961-10-09,68,I Just Don't Understand,Ann-Margret,41.0,17,12.0
11386,1979-05-12,92,I Just Fall In Love Again,Anne Murray,64.0,12,16.0
11387,2011-03-19,93,I Just Had Sex,The Lonely Island Featuring Akon,94.0,30,11.0
11388,1958-12-15,85,I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two,,85,1.0
11389,2003-03-22,52,I Just Wanna Be Mad,Terri Clark,41.0,27,20.0
11390,1972-05-06,93,I Just Wanna Be Your Friend,Lighthouse,93.0,93,2.0
11391,1970-11-07,64,I Just Wanna Keep It Together,Paul Davis,51.0,51,9.0
11392,2005-04-02,98,I Just Wanna Live,Good Charlotte,93.0,51,8.0
11393,2001-03-17,40,I Just Wanna Love U (Give It 2 Me),JAY-Z,30.0,11,21.0
11394,1979-01-27,100,I Just Wanna Stop,Gino Vannelli,66.0,4,21.0
11395,1977-11-19,97,I Just Want To Be Your Everything,Andy Gibb,62.0,1,31.0
11396,1971-10-09,26,I Just Want To Celebrate,Rare Earth,17.0,7,13.0
11397,1998-08-29,97,I Just Want To Dance With You,George Strait,99.0,61,19.0
11398,1977-11-12,94,I Just Want To Make Love To You,Foghat,54.0,33,17.0
11399,1962-10-13,65,I Keep Forgettin',Chuck Jackson,58.0,55,7.0
11400,1982-12-11,93,I Keep Forgettin' (Every Time You're Near),Michael McDonald,76.0,4,19.0
11401,2002-11-23,95,I Keep Looking,Sara Evans,95.0,35,19.0
11402,2010-07-10,85,I Keep On Loving You,Reba,78.0,78,10.0
11403,1976-12-18,98,I Kinda Miss You,The Manhattans,46.0,46,8.0
11404,2011-12-17,66,I Kissed A Girl,Glee Cast,,66,1.0
11405,1995-08-05,99,I Kissed A Girl,Jill Sobule,89.0,67,11.0
11406,2008-10-25,46,I Kissed A Girl,Katy Perry,36.0,1,23.0
11407,1959-04-20,94,I Kneel At Your Throne,Joe Medlin,,85,4.0
11408,2000-06-03,47,I Knew I Loved You,Savage Garden,46.0,1,33.0
11409,1964-06-13,59,I Knew It All The Time,The Dave Clark Five,53.0,53,8.0
11410,1973-06-02,60,I Knew Jesus (Before He Was A Star),Glen Campbell,45.0,45,12.0
11411,1986-01-25,98,I Knew The Bride (When She Use To Rock And Roll),Nick Lowe And His Cowboy Outfit,94.0,77,9.0
11412,2013-06-22,85,I Knew You Were Trouble,Michelle Chamuel,,85,1.0
11413,2013-07-06,49,I Knew You Were Trouble.,Taylor Swift,49.0,2,36.0
11414,1987-06-13,81,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,69.0,1,17.0
11415,1965-11-27,35,I Knew You When,Billy Joe Royal,18.0,14,11.0
11416,1983-02-26,94,I Knew You When,Linda Ronstadt,83.0,37,12.0
11417,1995-10-14,50,I Know,Dionne Farris,46.0,4,38.0
11418,2023-04-16,90,I Know,Kanii,95,90,2.0
11419,1959-08-03,84,I Know,Perry Como,56.0,47,9.0
11420,2020-05-30,95,I Know,Polo G,,95,1.0
11421,2019-09-21,53,I Know,Post Malone,,53,1.0
11422,2001-01-06,98,I Know,Sunday,98.0,98,2.0
11423,1962-03-24,65,I Know (You Don't Love Me No More),Barbara George,48.0,3,19.0
11424,2023-12-17,65,I Know ?,Travis Scott,58,11,20.0
11425,1979-11-24,99,I Know A Heartache When I See One,Jennifer Warnes,57.0,19,22.0
11426,1965-06-05,48,I Know A Place,Petula Clark,32.0,3,12.0
11427,1963-05-25,96,I Know I Know,"""Pookie"" Hudson",,96,1.0
11428,1971-10-16,86,I Know I'm In Love,Chee-Chee & Peppy,85.0,49,14.0
11429,1960-08-22,94,I Know One,Jim Reeves,,82,2.0
11430,2016-11-26,92,I Know Somebody,LOCASH,82.0,52,11.0
11431,1983-05-21,94,I Know There's Something Going On,Frida,77.0,13,29.0
11432,1982-06-12,96,I Know What Boys Like,The Waitresses,62.0,62,6.0
11433,1960-02-15,81,I Know What God Is,Perry Como,95.0,81,2.0
11434,1987-07-04,87,I Know What I Like,Huey Lewis & The News,65.0,9,14.0
11435,2016-04-16,86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,88.0,20,20.0
11436,2003-08-16,48,I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,39.0,3,24.0
11437,1998-05-30,97,I Know Where It's At,All Saints,87.0,36,18.0
11438,2018-07-07,79,I Know You,Lil Skies Featuring Yung Pinch,92.0,79,3.0
11439,1966-06-11,60,I Know You Better Than That,Bobby Goldsboro,56.0,56,5.0
11440,2006-11-25,59,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,44.0,17,20.0
11441,2009-11-07,43,I Know You Want Me (Calle Ocho),Pitbull,45.0,2,35.0
11442,1988-09-17,95,I Know You're Out There Somewhere,The Moody Blues,91.0,30,16.0
11443,2000-04-29,82,I Learned From The Best,Whitney Houston,73.0,27,11.0
11444,1962-12-29,63,I Left My Heart In San Francisco,Tony Bennett,57.0,19,21.0
11445,1962-11-10,95,I Left My Heart In The Balcony,Linda Scott,74.0,74,8.0
11446,1961-03-13,96,I Lied To My Heart,The Enchanters,99.0,96,2.0
11447,1989-06-17,97,I Like,Guy,87.0,70,7.0
11448,1995-08-26,71,I Like,Kut Klose,61.0,34,20.0
11449,1983-11-26,84,I Like,Men Without Hats,86.0,84,3.0
11450,1996-11-09,99,"I Like (From ""The Nutty Professor"")",Montell Jordan Featuring Slick Rick,88.0,28,20.0
11451,2021-08-28,97,I Like Dat,T-Pain & Kehlani,,97,1.0
11452,1977-05-07,95,I Like Dreamin',Kenny Nolan,46.0,3,27.0
11453,2011-12-17,93,I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,74.0,74,3.0
11454,2019-04-06,45,I Like It,"Cardi B, Bad Bunny & J Balvin",44.0,1,51.0
11455,1983-05-28,97,I Like It,Debarge,67.0,31,17.0
11456,1989-10-28,87,I Like It,Dino,70.0,7,25.0
11457,2011-02-12,50,I Like It,Enrique Iglesias Featuring Pitbull,48.0,4,38.0
11458,1964-11-21,28,I Like It,Gerry And The Pacemakers,26.0,17,9.0
11459,1993-08-14,100,I Like It,Jomanda,98.0,83,6.0
11460,2000-06-10,89,I Like It,Sammie,91.0,24,20.0
11461,1997-05-03,49,I Like It,The Blackout Allstars,49.0,25,22.0
11462,1995-08-12,96,I Like It (I Wanna Be Where You Are),Grand Puba,96.0,91,9.0
11463,2012-03-03,44,I Like It Like That,Hot Chelle Rae Featuring New Boyz,38.0,28,20.0
11464,1975-09-06,84,I Like It Like That,Loggins & Messina,84.0,84,2.0
11465,1965-08-28,39,I Like It Like That,The Dave Clark Five,25.0,7,11.0
11466,1964-08-22,44,I Like It Like That,The Miracles,32.0,27,9.0
11467,1961-09-18,48,"I Like It Like That, Part 1",Chris Kenner,41.0,2,17.0
11468,1996-01-06,55,"I Like It, I Love It",Tim McGraw,66.0,25,20.0
11469,2018-12-01,44,I Like Me Better,Lauv,41.0,27,41.0
11470,2004-10-30,55,I Like That,"Houston Featuring Chingy, Nate Dogg & I-20",48.0,11,20.0
11471,2016-05-28,95,I Like The Sound Of That,Rascal Flatts,97.0,52,16.0
11472,1967-08-12,32,I Like The Way,Tommy James And The Shondells,25.0,25,7.0
11473,1991-07-27,91,I Like The Way (The Kissing Game),Hi-Five,67.0,1,23.0
11474,2008-05-10,95,I Like The Way She Do It,G Unit,,95,1.0
11475,2001-08-11,97,I Like Them Girls,Tyrese,91.0,48,19.0
11476,1977-02-19,89,I Like To Do It,KC And The Sunshine Band,47.0,37,12.0
11477,1974-03-23,46,I Like To Live The Love,B.B. King,32.0,28,16.0
11478,1994-04-16,98,I Like To Move It,Reel 2 Real Featuring The Mad Stuntman,97.0,89,6.0
11479,1980-02-23,97,I Like To Rock,April Wine,86.0,86,3.0
11480,1971-11-20,77,I Like What You Give,Nolan,70.0,70,8.0
11481,1969-04-26,61,I Like What You're Doing (To Me),Carla Thomas,49.0,49,11.0
11482,1973-06-16,82,I Like You,Donovan,82.0,66,8.0
11483,1986-04-19,96,I Like You,Phyllis Nelson,79.0,61,11.0
11484,2023-03-05,37,I Like You (A Happier Song),Post Malone Featuring Doja Cat,37,3,36.0
11485,1970-09-19,82,I Like Your Lovin' (Do You Like Mine),The Chi-lites,72.0,72,6.0
11486,1971-09-25,57,I Likes To Do It,The People's Choice,54.0,38,10.0
11487,1990-01-20,93,I Live By The Groove,Paul Carrack,69.0,31,13.0
11488,1965-11-06,57,I Live For The Sun,The Sunrays,57.0,51,10.0
11489,1988-04-02,83,I Live For Your Love,Natalie Cole,76.0,13,22.0
11490,1995-07-08,79,I Live My Life For You,Firehouse,80.0,26,20.0
11491,2015-04-04,92,I Lived,OneRepublic,89.0,32,17.0
11492,2018-07-14,100,I Lived It,Blake Shelton,85.0,63,18.0
11493,2010-10-23,74,I Look To You,Glee Cast,,74,1.0
11494,2009-10-03,83,I Look To You,Whitney Houston,88.0,70,6.0
11495,1959-08-24,100,I Looked At Heaven,Tommy Edwards,,100,1.0
11496,2001-03-03,92,I Lost It,Kenny Chesney,89.0,34,20.0
11497,1962-12-15,64,I Lost My Baby,Joey Dee,61.0,61,7.0
11498,1984-07-14,97,I Lost On Jeopardy,"""Weird Al"" Yankovic",81.0,81,3.0
11499,1974-03-23,42,I Love,Tom T. Hall,28.0,12,16.0
11500,1981-05-16,95,I Love A Rainy Night,Eddie Rabbitt,75.0,1,28.0
11501,1959-07-27,80,I Love An Angel,Little Bill and The Bluenotes,73.0,66,6.0
11502,2009-06-20,90,I Love College,Asher Roth,90.0,12,17.0
11503,1969-02-01,32,I Love How You Love Me,Bobby Vinton,20.0,9,14.0
11504,1961-12-11,35,I Love How You Love Me,The Paris Sisters,22.0,5,15.0
11505,2013-08-31,51,I Love It,Icona Pop Featuring Charli XCX,34.0,7,29.0
11506,2018-12-08,97,I Love It,Kanye West & Lil Pump,75.0,6,12.0
11507,1975-10-04,50,I Love Makin' Love To You,Evie Sands,51.0,50,10.0
11508,2020-05-23,75,I Love Me,Demi Lovato,70.0,18,10.0
11509,1997-08-09,48,I Love Me Some Him/I Don't Want To,Toni Braxton,50.0,19,20.0
11510,1994-02-05,87,"I Love Music (From ""Carlito's Way"")",Rozalla,76.0,76,7.0
11511,1976-02-21,53,I Love Music (Part 1),The O'Jays,35.0,5,17.0
11512,2006-08-26,72,I Love My B****,Busta Rhymes Featuring will.i.am & Kelis,68.0,41,12.0
11513,1969-04-12,94,I Love My Baby,Archie Bell & The Drells,100.0,94,3.0
11514,2020-09-12,62,I Love My Country,Florida Georgia Line,40.0,40,20.0
11515,1974-10-26,97,I Love My Friend,Charlie Rich,53.0,24,13.0
11516,1978-04-15,100,I Love My Music,Wild Cherry,69.0,69,8.0
11517,1981-09-05,98,I Love My Truck,Glen Campbell,94.0,94,3.0
11518,2011-06-11,81,"I Love New York / New York, New York",Glee Cast,,81,1.0
11519,1966-07-30,67,I Love Onions,Susan Christie,63.0,63,8.0
11520,1982-06-19,100,I Love Rock 'N Roll,Joan Jett & the Blackhearts,99.0,1,20.0
11521,1989-11-18,91,I Love The Bass,Bardeux,81.0,68,10.0
11522,1979-02-03,93,I Love The Nightlife (Disco 'round),Alicia Bridges,93.0,5,31.0
11523,1960-05-30,45,I Love The Way You Love,Marv Johnson,40.0,9,13.0
11524,1993-07-31,97,I Love The Way You Love Me,John Michael Montgomery,95.0,60,13.0
11525,2004-01-17,51,I Love This Bar,Toby Keith,56.0,26,20.0
11526,2016-03-12,99,I Love This Life,LOCASH,99.0,56,18.0
11527,1980-11-01,90,I Love Women,Jim Hurt,90.0,90,4.0
11528,2019-04-13,53,I Love You,Billie Eilish,,53,1.0
11529,1981-08-22,95,I Love You,Climax Blues Band,95.0,12,27.0
11530,1978-02-25,80,I Love You,Donna Summer,51.0,37,11.0
11531,2003-07-26,99,I Love You,Dru Hill,96.0,77,13.0
11532,2002-06-15,49,I Love You,Faith Evans,53.0,14,21.0
11533,2000-01-08,71,I Love You,Martina McBride,66.0,24,20.0
11534,1970-01-24,70,I Love You,Otis Leavill,63.0,63,9.0
11535,1968-08-03,42,I Love You,People,22.0,14,18.0
11536,1962-07-14,44,I Love You,The Volume's,32.0,22,12.0
11537,1991-04-06,81,I Love You,Vanilla Ice,56.0,52,7.0
11538,1966-07-30,72,I Love You 1000 Times,The Platters,71.0,31,14.0
11539,1997-03-29,45,I Love You Always Forever,Donna Lewis,42.0,2,41.0
11540,1963-07-20,60,I Love You Because,Al Martino,37.0,3,16.0
11541,1999-10-09,98,I Love You Came Too Late,Joey McIntyre,92.0,54,6.0
11542,1966-06-25,39,I Love You Drops,Vic Dana,30.0,30,8.0
11543,1971-06-05,33,I Love You For All Seasons,The Fuzz,28.0,21,20.0
11544,1960-10-10,61,I Love You In The Same Old Way,Paul Anka,48.0,40,11.0
11545,1971-07-24,72,I Love You Lady Dawn,The Bells,64.0,64,5.0
11546,1968-11-16,56,I Love You Madly,Fantastic Four,63.0,56,9.0
11547,1964-04-11,45,I Love You More And More Every Day,Al Martino,23.0,9,11.0
11548,1967-04-22,78,I Love You More Than Words Can Say,Otis Redding,80.0,78,3.0
11549,1972-11-25,79,I Love You More Than You'll Ever Know,Donny Hathaway,61.0,60,6.0
11550,1993-03-20,98,I Love You Period,Dan Baird,84.0,26,16.0
11551,1965-07-10,75,I Love You So,Bobbi Martin,75.0,70,7.0
11552,2022-05-08,90,I Love You So,The Walters,86,71,16.0
11553,1962-10-06,76,I Love You The Way You Are,Bobby Vinton,38.0,38,9.0
11554,2011-09-24,94,I Love You This Big,Scotty McCreery,83.0,11,16.0
11555,2004-05-01,100,I Love You This Much,Jimmy Wayne,96.0,53,15.0
11556,1961-09-18,98,I Love You Yes I Do,Bull Moose Jackson,100.0,98,2.0
11557,1978-04-08,81,"I Love You, I Love You, I Love You",Ronnie McDowell,83.0,81,4.0
11558,1995-10-21,87,I Love You/You Bring Me Joy,Mary J. Blige,86.0,57,19.0
11559,1992-05-16,50,I Love Your Smile,Shanice,41.0,2,26.0
11560,1981-06-13,93,I Loved 'em Every One,T.G. Sheppard,88.0,37,14.0
11561,1968-09-07,68,I Loved And I Lost,The Impressions,61.0,61,8.0
11562,2007-01-06,90,I Loved Her First,Heartland,87.0,34,20.0
11563,1959-11-09,63,"I Loves You, Porgy",Nina Simone,39.0,18,15.0
11564,2014-04-05,77,I Luh Ya Papi,Jennifer Lopez Featuring French Montana,98.0,77,2.0
11565,2007-03-10,96,I Luv It,Young Jeezy,84.0,14,15.0
11566,2014-02-01,73,I Luv This Sh*t,August Alsina Featuring Trinidad James,72.0,48,20.0
11567,1997-02-01,100,I Luv U Baby,The Original,96.0,66,16.0
11568,2008-09-20,49,I Luv Your Girl,The-Dream,38.0,20,20.0
11569,2010-07-03,36,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",35.0,21,20.0
11570,1981-03-07,84,I Made It Through The Rain,Barry Manilow,58.0,10,16.0
11571,1967-10-14,39,I Make A Fool Of Myself,Frankie Valli,18.0,18,8.0
11572,2005-04-23,98,I May Hate Myself In The Morning,Lee Ann Womack,84.0,66,13.0
11573,1963-01-05,69,I May Not Live To See Tomorrow,Brian Hyland,70.0,69,7.0
11574,2015-02-21,99,I Mean It,G-Eazy Featuring Remo,98.0,98,4.0
11575,2004-01-03,81,I Melt,Rascal Flatts,78.0,34,20.0
11576,1990-08-25,94,I Melt With You,Modern English,85.0,76,17.0
11577,2016-11-05,94,I Met A Girl,William Michael Morgan,78.0,60,9.0
11578,1968-10-19,50,I Met Her In Church,The Box Tops,37.0,37,6.0
11579,2018-08-04,60,I Might Need Security,Chance The Rapper,,60,1.0
11580,2002-10-26,78,I Miss My Friend,Darryl Worley,77.0,28,20.0
11581,1998-01-17,79,I Miss My Homies,Master P Featuring Pimp C And The Shocker,69.0,25,20.0
11582,1994-10-15,50,I Miss You,Aaron Hall,48.0,14,23.0
11583,2004-07-31,95,I Miss You,Blink-182,90.0,42,20.0
11584,2018-01-20,92,I Miss You,Clean Bandit Featuring Julia Michaels,,92,1.0
11585,2002-03-16,99,I Miss You,DMX Featuring Faith Evans,89.0,86,7.0
11586,1992-09-26,92,I Miss You,Joe Public,90.0,55,13.0
11587,1986-03-29,98,I Miss You,Klymaxx,75.0,5,29.0
11588,1995-04-15,52,I Miss You,N2U,43.0,22,20.0
11589,1974-03-02,61,I Miss You,The Dells,60.0,60,7.0
11590,1996-03-09,77,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah,66.0,56,20.0
11591,1972-08-26,64,I Miss You (Part I),Harold Melvin And The Blue Notes,59.0,58,9.0
11592,1973-01-27,95,I Miss You Baby,Millie Jackson,100.0,95,4.0
11593,1965-11-13,43,I Miss You So,Little Anthony And The Imperials,34.0,34,7.0
11594,1959-05-25,86,I Miss You So,Paul Anka,47.0,33,9.0
11595,1981-07-04,97,I Missed Again,Phil Collins,93.0,19,16.0
11596,1960-12-19,71,I Missed Me,Jim Reeves,44.0,44,6.0
11597,1993-01-09,82,I Missed The Bus,Kris Kross,72.0,63,15.0
11598,1986-07-05,91,I Must Be Dreaming,Giuffria,80.0,52,10.0
11599,1959-06-22,86,I Must Be Dreaming,Nat King Cole,,69,4.0
11600,1965-04-10,40,I Must Be Seeing Things,Gene Pitney,31.0,31,7.0
11601,2011-07-02,80,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,71.0,4,20.0
11602,2009-09-19,96,I Need A Girl,Trey Songz,86.0,59,16.0
11603,2002-08-17,47,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,33.0,2,23.0
11604,2002-11-30,50,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",48.0,4,26.0
11605,2000-05-13,100,I Need A Hot Girl,Hot Boys,95.0,65,13.0
11606,1980-01-12,69,I Need A Lover,John Cougar,69.0,28,14.0
11607,1988-02-20,95,I Need A Man,Eurythmics,72.0,46,10.0
11608,1977-06-11,83,I Need A Man,Grace Jones,86.0,83,6.0
11609,1970-11-21,79,I Need Help (I Can't Do It Alone) Pt. 1,Bobby Byrd,69.0,69,5.0
11610,1966-06-18,98,I Need Love,Barbara Mason,100.0,98,2.0
11611,1987-10-24,98,I Need Love,LL Cool J,60.0,14,13.0
11612,1992-07-18,100,I Need Love,Olivia Newton-John,96.0,96,2.0
11613,1992-03-28,89,I Need Money,Marky Mark & The Funky Bunch,75.0,61,7.0
11614,1962-01-20,75,I Need Some One,The Belmonts,77.0,75,4.0
11615,1967-01-21,41,I Need Somebody,? (Question Mark) & The Mysterians,36.0,22,10.0
